,epoch,train_loss,val_loss
0,1.0,0.14057307324948765,0.06822788182504569
1,2.0,0.0649506012243884,0.060520179899810234
2,3.0,0.06004761264674247,0.05880068940452383
3,4.0,0.058697310433028234,0.06049824840848959
4,5.0,0.061877085303976426,0.062004131701173665
5,6.0,0.06420252965319724,0.061249455036241796
6,7.0,0.062425577297570214,0.060256792680372165
7,8.0,0.056666336492413566,0.053504052465852305
8,9.0,0.052645778478611086,0.050330881123678596
9,10.0,0.050601631663148364,0.049931654918797405
10,11.0,0.05187709905088894,0.05217355456721934
11,12.0,0.05537141876088248,0.05654065636328504
12,13.0,0.056149636339100584,0.052419978370772134
13,14.0,0.05249236955765694,0.049161108281416226
14,15.0,0.04910943167550223,0.0462499194884602
15,16.0,0.04646496557527118,0.04512947910948645
16,17.0,0.04615513008265268,0.046486849979132036
17,18.0,0.04885109684297017,0.04783800484824784
18,19.0,0.05016287996891945,0.048223042082560216
19,20.0,0.04839012100109978,0.04521744858615006
20,21.0,0.04577066363796355,0.04458511941417863
21,22.0,0.0433807382034877,0.04188551810346072
22,23.0,0.04242769464377373,0.04238561715317678
23,24.0,0.0439892463504322,0.05619968846440315
24,25.0,0.04692547700944401,0.0476093452093722
25,26.0,0.04651024595849098,0.046673275058782555
26,27.0,0.04456009333805432,0.04257631014230885
27,28.0,0.041845856973576165,0.040453759788335125
28,29.0,0.04025186838375198,0.039330953378466114
29,30.0,0.04094600328613841,0.0846696486578712
30,31.0,0.04416231463352839,0.04369359204097639
31,32.0,0.045273995943485745,0.05183012623198425
32,33.0,0.0448910158896257,0.04289357915897913
33,34.0,0.04252629351048243,0.055895990986801404
34,35.0,0.0401517188856526,0.04398902085951612
35,36.0,0.03990279529539366,0.06920778213799754
36,37.0,0.0418708104699377,0.055759706357611884
37,38.0,0.043450033404524364,0.045108606166477445
38,39.0,0.04401249328539485,0.09148838503074043
39,40.0,0.04209919221817501,0.04842092195832277
